"EffectMean","EffectLower","EffectUpper","Significant","Feature","Repeat","Fold","Dataset","Target"
0.446830372610554,0.313131313131313,0.613788347801513,"yes","X3",1,8,"bikesharing","windspeed"
0.398954373878672,0.252525252525253,0.552043296489047,"yes","X1",1,9,"bikesharing","windspeed"
0.397621819464185,0.262626262626263,0.554016983043079,"yes","X2",1,9,"bikesharing","windspeed"
0.421100689509412,0.282828282828283,0.595959595959596,"yes","X3",1,9,"bikesharing","windspeed"
0.409544131808267,0.282828282828283,0.572531177532941,"yes","X1",1,10,"bikesharing","windspeed"
0.36799786509743,0.227339814033125,0.535353535353535,"yes","X2",1,10,"bikesharing","windspeed"
0.440333941269994,0.313131313131313,0.616325206930003,"yes","X3",1,10,"bikesharing","windspeed"
0.416748322534146,0.29929006771607,0.576010101010101,"yes","X1",2,1,"bikesharing","windspeed"
0.43737184825806,0.314361939602918,0.586102799477079,"yes","X2",2,1,"bikesharing","windspeed"
0.467311458299938,0.341767504598115,0.656565656565657,"yes","X3",2,1,"bikesharing","windspeed"
0.391511414841966,0.278763893786816,0.535353535353535,"yes","X1",2,2,"bikesharing","windspeed"
0.383426004490657,0.278640525390261,0.535412518270753,"yes","X2",2,2,"bikesharing","windspeed"
0.43990483416509,0.29929006771607,0.618585882333384,"yes","X3",2,2,"bikesharing","windspeed"
0.410218388184181,0.309585807528678,0.552043296489047,"yes","X1",2,3,"bikesharing","windspeed"
0.396585755284121,0.301373289732876,0.545454545454546,"yes","X2",2,3,"bikesharing","windspeed"
0.425924239455802,0.309585807528678,0.585858585858586,"yes","X3",2,3,"bikesharing","windspeed"
0.395216664113808,0.290538302978058,0.527451546142036,"yes","X1",2,4,"bikesharing","windspeed"
0.392622833483536,0.289025199687008,0.542843504992324,"yes","X2",2,4,"bikesharing","windspeed"
0.457498565055753,0.336875989232872,0.636363636363636,"yes","X3",2,4,"bikesharing","windspeed"
0.431972836392608,0.32249235032825,0.582840275328814,"yes","X1",2,5,"bikesharing","windspeed"
0.414860790816357,0.303030303030303,0.555555555555556,"yes","X2",2,5,"bikesharing","windspeed"
0.43630076122694,0.305618961449454,0.598855398940623,"yes","X3",2,5,"bikesharing","windspeed"
0.359342434572598,0.227339814033125,0.518400146997185,"yes","X1",2,6,"bikesharing","windspeed"
0.423654993570357,0.314205651198716,0.555555555555556,"yes","X2",2,6,"bikesharing","windspeed"
0.449100391477963,0.304260929501908,0.616161616161616,"yes","X3",2,6,"bikesharing","windspeed"
0.408510694104558,0.292929292929293,0.555714693662854,"yes","X1",2,7,"bikesharing","windspeed"
0.383152234701547,0.292831690598236,0.525307500774763,"yes","X2",2,7,"bikesharing","windspeed"
0.484136823744676,0.347172203995996,0.666666666666667,"yes","X3",2,7,"bikesharing","windspeed"
0.421012747671852,0.307054440015531,0.565656565656566,"yes","X1",2,8,"bikesharing","windspeed"
0.396520847359216,0.292929292929293,0.575757575757576,"yes","X2",2,8,"bikesharing","windspeed"
0.474465964452329,0.336083148399476,0.666884609584739,"yes","X3",2,8,"bikesharing","windspeed"
0.406211425409615,0.302299087026371,0.545454545454546,"yes","X1",2,9,"bikesharing","windspeed"
0.380458668025025,0.294179333003243,0.527451546142036,"yes","X2",2,9,"bikesharing","windspeed"
0.440083951065848,0.320602789384381,0.616161616161616,"yes","X3",2,9,"bikesharing","windspeed"
0.422244023638287,0.303967766295849,0.562544689875124,"yes","X1",2,10,"bikesharing","windspeed"
0.408798355008888,0.25822465871837,0.564009081053868,"yes","X2",2,10,"bikesharing","windspeed"
0.42825715839481,0.326010783751468,0.585858585858586,"yes","X3",2,10,"bikesharing","windspeed"
0.432137260699151,0.278763893786816,0.613727494766639,"yes","X1",3,1,"bikesharing","windspeed"
0.415131671718953,0.262516222528565,0.565656565656566,"yes","X2",3,1,"bikesharing","windspeed"
0.44048759726096,0.323799592254982,0.585924039976585,"yes","X3",3,1,"bikesharing","windspeed"
0.413344466173431,0.303030303030303,0.561925532508582,"yes","X1",3,2,"bikesharing","windspeed"
0.414299585724412,0.29929006771607,0.552612702789028,"yes","X2",3,2,"bikesharing","windspeed"
0.464159964521196,0.336910898095805,0.644512599843504,"yes","X3",3,2,"bikesharing","windspeed"
0.401288411326145,0.295661831670413,0.552992425726645,"yes","X1",3,3,"bikesharing","windspeed"
0.380467105520944,0.272727272727273,0.535412518270753,"yes","X2",3,3,"bikesharing","windspeed"
0.443781741239835,0.327602610090561,0.616161616161616,"yes","X3",3,3,"bikesharing","windspeed"
0.416321434635529,0.299171864406377,0.585902221937252,"yes","X1",3,4,"bikesharing","windspeed"
0.406131999434809,0.29929006771607,0.537712852042228,"yes","X2",3,4,"bikesharing","windspeed"
0.527193384414261,0.347172203995996,0.757365532603572,"yes","X3",3,4,"bikesharing","windspeed"
0.384514683688893,0.289025199687008,0.535353535353535,"yes","X1",3,5,"bikesharing","windspeed"
0.390877704991611,0.29929006771607,0.53784111836598,"yes","X2",3,5,"bikesharing","windspeed"
0.436571016382231,0.28887027676554,0.606060606060606,"yes","X3",3,5,"bikesharing","windspeed"
0.411486504874773,0.303030303030303,0.575757575757576,"yes","X1",3,6,"bikesharing","windspeed"
0.37182842768819,0.262626262626263,0.525252525252525,"yes","X2",3,6,"bikesharing","windspeed"
0.429734799505577,0.30064340952727,0.66347143706965,"yes","X3",3,6,"bikesharing","windspeed"
0.369242787579569,0.272727272727273,0.515151515151515,"yes","X1",3,7,"bikesharing","windspeed"
0.429971818811128,0.313508720685164,0.582897922447705,"yes","X2",3,7,"bikesharing","windspeed"
0.491613804674226,0.3420415510459,0.697031826434083,"yes","X3",3,7,"bikesharing","windspeed"
0.402275807326824,0.29126931119114,0.553217849115345,"yes","X1",3,8,"bikesharing","windspeed"
0.349769131303632,0.252525252525253,0.484848484848485,"yes","X2",3,8,"bikesharing","windspeed"
0.470532627319391,0.344841117178604,0.646464646464647,"yes","X3",3,8,"bikesharing","windspeed"
0.439407412552705,0.312196788622085,0.595959595959596,"yes","X1",3,9,"bikesharing","windspeed"
0.39971952153485,0.283210499256109,0.565829299222387,"yes","X2",3,9,"bikesharing","windspeed"
0.432992437600408,0.305036642432317,0.593136015141423,"yes","X3",3,9,"bikesharing","windspeed"
0.402915317510357,0.303030303030303,0.542908781003879,"yes","X1",3,10,"bikesharing","windspeed"
0.426368780077726,0.30952293595411,0.582840275328814,"yes","X2",3,10,"bikesharing","windspeed"
0.39699605672334,0.283205690382133,0.555555555555556,"yes","X3",3,10,"bikesharing","windspeed"
0.414869126197914,0.303030303030303,0.572604468334455,"yes","X1",4,1,"bikesharing","windspeed"
0.406902636331577,0.31972617915371,0.535353535353535,"yes","X2",4,1,"bikesharing","windspeed"
0.450337984286262,0.309585807528678,0.636557356805388,"yes","X3",4,1,"bikesharing","windspeed"
0.405895813667414,0.278763893786816,0.572784890161756,"yes","X1",4,2,"bikesharing","windspeed"
0.402142260740709,0.291759667914599,0.555555555555556,"yes","X2",4,2,"bikesharing","windspeed"
0.432259697005318,0.313103825370194,0.603431754954031,"yes","X3",4,2,"bikesharing","windspeed"
0.405384800158633,0.272727272727273,0.563557581219507,"yes","X1",4,3,"bikesharing","windspeed"
0.425555633922391,0.319876382254424,0.585902221937252,"yes","X2",4,3,"bikesharing","windspeed"
0.420348971079076,0.313131313131313,0.582840275328814,"yes","X3",4,3,"bikesharing","windspeed"
0.383282808097431,0.262626262626263,0.558276992328362,"yes","X1",4,4,"bikesharing","windspeed"
0.405758788068768,0.302936797147447,0.551635788946239,"yes","X2",4,4,"bikesharing","windspeed"
0.452741898828416,0.328376037321612,0.646464646464647,"yes","X3",4,4,"bikesharing","windspeed"
0.387261549312331,0.278763893786816,0.540582532744869,"yes","X1",4,5,"bikesharing","windspeed"
0.428513566367804,0.31726169061011,0.586045389833447,"yes","X2",4,5,"bikesharing","windspeed"
0.431134631848044,0.313131313131313,0.593136015141423,"yes","X3",4,5,"bikesharing","windspeed"
0.381313809304993,0.29929006771607,0.518400146997185,"yes","X1",4,6,"bikesharing","windspeed"
0.433403649757241,0.301050828016856,0.595959595959596,"yes","X2",4,6,"bikesharing","windspeed"
0.438195752042584,0.303030303030303,0.606252278278257,"yes","X3",4,6,"bikesharing","windspeed"
0.420302410492607,0.293398959620895,0.585902221937252,"yes","X1",4,7,"bikesharing","windspeed"
0.428425274254239,0.313131313131313,0.606252278278257,"yes","X2",4,7,"bikesharing","windspeed"
0.42682455802886,0.313131313131313,0.572531177532941,"yes","X3",4,7,"bikesharing","windspeed"
0.416250434282878,0.302995483220592,0.575757575757576,"yes","X1",4,8,"bikesharing","windspeed"
0.411952831476871,0.313131313131313,0.552043296489047,"yes","X2",4,8,"bikesharing","windspeed"
0.438861132780728,0.313131313131313,0.603431754954031,"yes","X3",4,8,"bikesharing","windspeed"
0.440967659431983,0.31074928787107,0.622893653829942,"yes","X1",4,9,"bikesharing","windspeed"
0.397882038915071,0.289025199687008,0.532651482498667,"yes","X2",4,9,"bikesharing","windspeed"
0.443314873194149,0.309585807528678,0.613731531846026,"yes","X3",4,9,"bikesharing","windspeed"
0.385371324625116,0.252410344184765,0.545454545454546,"yes","X1",4,10,"bikesharing","windspeed"
0.418486977450537,0.289025199687008,0.582876282514815,"yes","X2",4,10,"bikesharing","windspeed"
0.417782258935897,0.289025199687008,0.593206604661877,"yes","X3",4,10,"bikesharing","windspeed"
0.38575274788558,0.302936797147447,0.518298596639962,"yes","X1",5,1,"bikesharing","windspeed"
