x,ale,Dataset,Target,Feature,Model
6.447368421052632,3.30049747550994,Forestfires,area,X2,bart
6.7105263157894735,1.20914270686815,Forestfires,area,X2,bart
6.973684210526316,-0.882212061773643,Forestfires,area,X2,bart
7.2368421052631575,-2.70785460164428,Forestfires,area,X2,bart
7.5,-43.3705040065624,Forestfires,area,X2,bart
52.3,1.27716350506575,Forestfires,area,X3,sebart
54.560526315789474,0.699894236392739,Forestfires,area,X3,sebart
56.821052631578944,0.264788768627311,Forestfires,area,X3,sebart
59.08157894736842,0.0125533821057547,Forestfires,area,X3,sebart
61.34210526315789,-0.33915542439142,Forestfires,area,X3,sebart
63.60263157894737,-0.505270836170502,Forestfires,area,X3,sebart
65.86315789473684,-0.504261629126214,Forestfires,area,X3,sebart
68.1236842105263,-0.242988900634736,Forestfires,area,X3,sebart
70.38421052631578,-0.0819843859683677,Forestfires,area,X3,sebart
72.64473684210526,-0.153329742440747,Forestfires,area,X3,sebart
74.90526315789474,8.79812002063834,Forestfires,area,X3,bart
77.16578947368421,3.22103404236296,Forestfires,area,X3,bart
79.42631578947368,1.45194564569974,Forestfires,area,X3,bart
81.68684210526315,0.710611093196431,Forestfires,area,X3,bart
83.94736842105263,0.540071456832947,Forestfires,area,X3,bart
86.20789473684209,0.524189283374049,Forestfires,area,X3,bart
88.46842105263158,0.550632202007583,Forestfires,area,X3,bart
90.72894736842105,-1.88436551050065,Forestfires,area,X3,bart
92.98947368421052,-4.92928166112613,Forestfires,area,X3,bart
95.25,-5.38874373935411,Forestfires,area,X3,bart
13.4,-0.853703497874655,Forestfires,area,X4,sebart
25.539473684210527,-0.998849254685184,Forestfires,area,X4,sebart
37.678947368421056,-0.782743381199037,Forestfires,area,X4,sebart
49.81842105263158,-0.839712388829247,Forestfires,area,X4,sebart
61.95789473684211,-0.603113628908613,Forestfires,area,X4,sebart
74.09736842105264,0.231918807659449,Forestfires,area,X4,sebart
86.23684210526316,0.89747659011362,Forestfires,area,X4,sebart
98.3763157894737,0.949649291886767,Forestfires,area,X4,sebart
110.51578947368422,0.839997085864277,Forestfires,area,X4,sebart
122.65526315789475,1.25845182208717,Forestfires,area,X4,sebart
134.79473684210527,-4.77515362550918,Forestfires,area,X4,bart
146.9342105263158,-6.877733082479,Forestfires,area,X4,bart
159.07368421052632,-5.98419920390945,Forestfires,area,X4,bart
171.21315789473687,-4.49355320997673,Forestfires,area,X4,bart
183.35263157894738,-3.34736318023164,Forestfires,area,X4,bart
195.49210526315792,1.77443067744629,Forestfires,area,X4,bart
207.63157894736844,5.00054563312877,Forestfires,area,X4,bart
219.77105263157895,0.0970901824798287,Forestfires,area,X4,bart
231.9105263157895,-0.986262570417814,Forestfires,area,X4,bart
244.05,20.6810546616508,Forestfires,area,X4,bart
44.35,-0.915102234871498,Forestfires,area,X5,sebart
84.61315789473684,-0.656852344457929,Forestfires,area,X5,sebart
124.8763157894737,-0.440612855225987,Forestfires,area,X5,sebart
165.13947368421051,-0.176699888109246,Forestfires,area,X5,sebart
205.40263157894736,0.289700374128517,Forestfires,area,X5,sebart
245.6657894736842,0.382334451008427,Forestfires,area,X5,sebart
285.92894736842106,0.306067840458483,Forestfires,area,X5,sebart
326.19210526315794,0.222110208584185,Forestfires,area,X5,sebart
366.45526315789476,0.129166545097466,Forestfires,area,X5,sebart
406.7184210526316,0.951499116688799,Forestfires,area,X5,sebart
446.98157894736846,0.546207804902492,Forestfires,area,X5,bart
487.2447368421053,2.38233068849819,Forestfires,area,X5,bart
527.5078947368421,1.52618853044463,Forestfires,area,X5,bart
567.771052631579,-0.245301427306779,Forestfires,area,X5,bart
608.0342105263159,1.85000916589516,Forestfires,area,X5,bart
648.2973684210526,3.273715688661,Forestfires,area,X5,bart
688.5605263157895,3.15894743804753,Forestfires,area,X5,bart
728.8236842105264,0.649512322654462,Forestfires,area,X5,bart
769.0868421052631,-2.20354979964559,Forestfires,area,X5,bart
809.35,-12.8960254318426,Forestfires,area,X5,bart
