"x","ale","Dataset","Target","Feature","Model"
29.7,1.64023461282787,"Forestfires","area","X7","sebart"
6.7,1.11438429856722,"Forestfires","area","X7","bart"
12.8,-2.01519943624491,"Forestfires","area","X7","bart"
15.5,-1.55969545699125,"Forestfires","area","X7","bart"
17.25,-0.47336448915088,"Forestfires","area","X7","bart"
18.6,0.690177821305186,"Forestfires","area","X7","bart"
19.95,1.92113109782731,"Forestfires","area","X7","bart"
21.2,3.04049948026727,"Forestfires","area","X7","bart"
22.7,3.74407440391671,"Forestfires","area","X7","bart"
24.85,5.56804828997597,"Forestfires","area","X7","bart"
29.7,-20.1497031252451,"Forestfires","area","X7","bart"
21,0.964953596130441,"Forestfires","area","X8","sebart"
28.5,0.545021396676058,"Forestfires","area","X8","sebart"
32,0.126562100424065,"Forestfires","area","X8","sebart"
36,-0.24256468109729,"Forestfires","area","X8","sebart"
40,-0.270968150891385,"Forestfires","area","X8","sebart"
43.5,-0.137249795789697,"Forestfires","area","X8","sebart"
47.5,-0.176036091975418,"Forestfires","area","X8","sebart"
53.5,-0.0518528015905642,"Forestfires","area","X8","sebart"
62.5,-0.225903504801682,"Forestfires","area","X8","sebart"
84,-0.673679369121811,"Forestfires","area","X8","sebart"
21,27.6918771761725,"Forestfires","area","X8","bart"
28.5,11.6274516468657,"Forestfires","area","X8","bart"
32,-15.9533109729135,"Forestfires","area","X8","bart"
36,-11.4064489166357,"Forestfires","area","X8","bart"
40,-9.17443408785375,"Forestfires","area","X8","bart"
43.5,-7.74198273288762,"Forestfires","area","X8","bart"
47.5,-8.06058735041096,"Forestfires","area","X8","bart"
53.5,-0.0449218058803176,"Forestfires","area","X8","bart"
62.5,-0.634946593756474,"Forestfires","area","X8","bart"
84,-11.761748929856,"Forestfires","area","X8","bart"
1.1,-1.22886598192598,"Forestfires","area","X9","sebart"
2,-1.00364766569262,"Forestfires","area","X9","sebart"
2.45,-0.673396821400409,"Forestfires","area","X9","sebart"
2.9,-0.467075710809969,"Forestfires","area","X9","sebart"
3.55,0.245344436991789,"Forestfires","area","X9","sebart"
4.25,0.591649233980394,"Forestfires","area","X9","sebart"
