"Scenario","Iteration","N_train","adjustment","y","truth","mean","lower","upper"
"sigmoid",1,200,"raw",19.7217281966597,8.52175583032694,0.370906234682833,0.131475533557198,0.782897993049528
"sigmoid",1,200,"raw",19.746288271073,8.70904424001338,0.378765280364405,0.139388238357265,0.79438732540068
"sigmoid",1,200,"raw",19.7599503742021,8.821133567493,0.386488982986426,0.14862302624668,0.803862602672659
"sigmoid",1,200,"raw",19.7658283660978,8.87131112180019,0.394007786664971,0.156318838674458,0.818217568975393
"sigmoid",1,200,"raw",19.8157997371267,9.35642262814005,0.401299045440878,0.162985237111458,0.829625031066401
"sigmoid",1,200,"raw",19.8433766274968,9.68356307430871,0.407679340023514,0.169766872212087,0.843754689209922
"sigmoid",1,200,"raw",19.8458415407856,9.71553748132502,0.413835009777691,0.174723022049199,0.85379493175057
"sigmoid",1,200,"raw",19.8589156247115,9.89410043486215,0.42023998678047,0.179342145437661,0.863623023745893
"sigmoid",1,200,"raw",19.8877720743221,10.3546569982851,0.425713777902649,0.184179596081391,0.869226608518353
"sigmoid",1,200,"raw",19.9368093190474,11.5083323592465,0.431162584528153,0.18908158109892,0.880928218408535
"sigmoid",1,200,"raw",19.9515430226616,12.0407708494832,0.436362656431835,0.192742243411403,0.890100573388776
"sigmoid",1,200,"raw",19.9519324445086,12.0569477090035,0.441334927319306,0.194598499446591,0.897735012067815
"sigmoid",1,200,"raw",19.9527787117938,12.0925577683746,0.446083533304764,0.1980508738474,0.901209442436251
"sigmoid",1,200,"raw",19.9533162271751,12.1155080162432,0.450591277227993,0.200887782253586,0.915763248202282
"sigmoid",1,200,"raw",19.9535956572411,12.1275431814596,0.45473334737649,0.202415404205359,0.922483206326466
"sigmoid",1,200,"raw",19.9540758568735,12.1483954644661,0.459060316952563,0.20436438630872,0.933952320522061
"sigmoid",1,200,"raw",19.9562817876177,12.247068949451,0.463188784005563,0.206642368878958,0.945152050253041
"sigmoid",1,200,"raw",19.9578960116831,12.3224753270057,0.466857903679359,0.207528970430877,0.946903206078412
"sigmoid",1,200,"raw",19.9616166765845,12.5078869263958,0.470576058707395,0.209334520361292,0.959736488543406
"sigmoid",1,200,"raw",19.9647353585831,12.6776839235553,0.474181394223959,0.210880104171839,0.970721075068291
"sigmoid",1,200,"raw",19.9728957795308,13.2048839395048,0.477572137972883,0.212092177477945,0.978874853094255
"sigmoid",1,200,"raw",19.9820485544295,14.029837864665,0.480632141847719,0.212935041534733,0.980271485822782
"sigmoid",1,200,"raw",19.9836548971791,14.2174832648836,0.48400622312339,0.213672635558203,0.985792973822235
"sigmoid",1,200,"raw",19.9837338583499,14.2271763329624,0.487171374811966,0.214266426089366,0.99255483978339
"sigmoid",1,200,"raw",19.9840748319015,14.2695804398202,0.490097045745811,0.214769185597924,0.994940270241951
"sigmoid",1,200,"raw",19.9884676175541,14.9155036479928,0.493212958622467,0.215035234804425,1.00964228905384
"sigmoid",1,200,"raw",19.9884973885362,14.9206763262189,0.496208436429187,0.215239993236028,1.01424900323036
"sigmoid",1,200,"raw",19.9919970298838,15.6465491732905,0.49929290682669,0.215366702434035,1.01819221785494
"sigmoid",1,200,"raw",19.9934428191469,16.0451977543053,0.502124800706075,0.215496382514054,1.02616363966604
"sigmoid",1,200,"raw",19.9936159739832,16.0987387296459,0.505158985191137,0.215541709605209,1.02792013567988
"sigmoid",1,200,"raw",19.9943405923944,16.3397706373993,0.508201107565795,0.215558399603665,1.04042010030855
"sigmoid",1,200,"raw",19.995869361756,16.9696981315049,0.511269635365486,0.215560895500522,1.04862212663334
"sigmoid",1,200,"raw",19.9962180377709,17.1461109067608,0.514268272236192,0.21556621989233,1.05714824273684
"sigmoid",1,200,"raw",19.9966803950483,17.406951546215,0.51725719959671,0.215593328106284,1.06385451090677
"sigmoid",1,200,"raw",19.9971940345969,17.7431991848775,0.520557500011564,0.215651101631599,1.06967644089659
"sigmoid",1,200,"raw",19.9980298922851,18.4506016468769,0.524006818980645,0.215786753336429,1.07351598261826
"sigmoid",1,200,"raw",19.9985653197988,19.0849476958383,0.527341298452788,0.216048693228804,1.07837168587813
"sigmoid",1,200,"raw",19.9989706780548,19.7490716105569,0.530982868952243,0.216332992720446,1.0829307567885
"sigmoid",1,200,"raw",19.9990995727812,20.0166569417503,0.534872257338628,0.216678893513485,1.09417408214424
"sigmoid",1,200,"raw",19.9991684352888,20.1757842642207,0.538908529569094,0.217289086946929,1.10197022709834
"sigmoid",1,200,"raw",19.9995207774469,21.2781075207346,0.543092963184861,0.217799206284064,1.11604787153387
"sigmoid",1,200,"raw",19.9995279130947,21.308112273654,0.547703723372542,0.21849245611036,1.12601795931263
"sigmoid",1,200,"raw",19.9995513034819,21.4097472869018,0.552145901829366,0.219402945941727,1.13140857001088
"sigmoid",1,200,"raw",19.9997069818188,22.2619870427379,0.556817563735594,0.220984405337053,1.14456792528012
