"Model","RMSE","Mean_CRPS","Median_CRPS","Runtime","Coverage_Q_80","Width_Q_80","Coverage_HPD_80","Width_HPD_80","Coverage_Q_90","Width_Q_90","Coverage_HPD_90","Width_HPD_90","Coverage_Q_95","Width_Q_95","Coverage_HPD_95","Width_HPD_95","Scenario","Iteration","N_train"
"sebart",554.931725938758,608.626262784368,445.660052397769,6.09800000000001,0.833,651.892120151957,0.768,528.887499132809,0.909,832.685693881079,0.868,722.530076493452,0.94,1014.04559274582,0.932,887.234657976138,"box_cox",12,500
"bart",445.661381238514,676.984401474857,445.850298462111,1.15100000000001,0.584,185.548314876321,0.59,180.879989903404,0.695,242.428109712744,0.698,237.8012231608,0.766,294.302914247384,0.764,289.303125071377,"box_cox",12,500
"bart_bc",540.694772198833,610.968887607645,449.581125229229,3.291,0.828,686.435942862638,0.766,594.422390637845,0.906,913.350473610082,0.886,801.520993077017,0.941,1128.98450236522,0.95,1001.17931826276,"box_cox",12,500
"sblm",973.26286007058,451.035739350776,399.182862095878,1.69,0.815,1341.78288266433,0.817,797.843676037262,0.914,2067.85643759421,0.892,1411.27214353165,0.949,2858.14008042808,0.936,2143.74987129862,"box_cox",12,500
"sebart",620.16546720861,807.815384500996,563.994751286228,6.28399999999999,0.819,797.850209576929,0.764,628.24935703796,0.898,997.57601039069,0.883,862.813305765224,0.932,1168.55946589343,0.933,1049.68414839356,"box_cox",13,500
"bart",324.285858169119,874.50388998534,563.914029027433,1.23999999999998,0.583,206.222737884905,0.57,200.345679076317,0.693,268.35916023754,0.685,262.689097416415,0.752,324.381603929871,0.746,317.97780985298,"box_cox",13,500
"bart_bc",470.959106688578,831.119187667171,568.356961744832,3.25999999999999,0.788,708.127235325183,0.723,642.681338808156,0.861,929.830813635535,0.846,849.73284587002,0.902,1135.56470430818,0.9,1044.47835419143,"box_cox",13,500
"sblm",1199.41185002777,541.047794173656,505.087388750836,1.43000000000001,0.824,1321.01728764678,0.8,810.971288656659,0.912,2052.90450674439,0.872,1404.90270863776,0.948,2912.36073447322,0.926,2142.1625020652,"box_cox",13,500
"sebart",1590.45614589691,873.814504843898,543.601539453083,6.14699999999999,0.816,1183.85455413874,0.742,956.633720395542,0.887,1637.8415392162,0.865,1254.75622067119,0.927,1965.40879538087,0.916,1690.25819120721,"box_cox",14,500
"bart",371.179527759705,894.626057277482,546.08854407828,1.18100000000001,0.648,306.164545144432,0.648,291.182235206169,0.753,402.017470654668,0.738,388.368609297031,0.811,483.120354225724,0.81,472.081466088003,"box_cox",14,500
"bart_bc",499.059652407747,775.319252153516,545.494027082175,3.28599999999997,0.778,823.561924805135,0.726,722.432287301046,0.86,1093.08515546323,0.846,968.850264035374,0.908,1348.64472460367,0.912,1205.23877402659,"box_cox",14,500
"sblm",1151.94703801788,540.709266727191,493.79361798608,1.399,0.789,1189.01057434831,0.782,744.776996568925,0.893,1826.6955216187,0.871,1257.79920614853,0.936,2658.838937889,0.914,1899.63584208089,"box_cox",14,500
"sebart",623.538662898489,639.693301174682,466.407675337803,6.38799999999998,0.817,722.523543612927,0.756,598.494761933779,0.887,929.000123535545,0.873,802.560749362437,0.917,1127.08312547786,0.912,988.506733186786,"box_cox",15,500
"bart",326.87088236148,711.499014447688,463.27155639827,1.255,0.639,204.980833296124,0.637,199.025826838141,0.723,265.377460315489,0.722,260.384634097975,0.782,318.746347312076,0.776,313.419783085186,"box_cox",15,500
