"Scenario","Model","N_train","Mean_RMSE","Coverage_Q_80","Width_Q_80","Coverage_Q_90","Width_Q_90","Coverage_Q_95","Width_Q_95","Coverage_HPD_80","Width_HPD_80","Coverage_HPD_90","Width_HPD_90","Coverage_HPD_95","Width_HPD_95","Mean_CRPS","Median_CRPS","Mean_Runtime"
"beta","sebart",250,0.106109130434136,0.83238,0.19068486755818,0.90212,0.25617468121795,0.93662,0.317956390911008,0.79684,0.1306670049634,0.90291,0.195155877486732,0.94936,0.259092229993612,0.184706056451464,0.128821704888856,69.4402199999999
"beta","sebart",500,0.0830751186540999,0.81801,0.148031554313519,0.88725,0.197610358261727,0.92452,0.244213403361274,0.77723,0.106875681935868,0.88058,0.154533522751171,0.92865,0.201631031223697,0.191633830743314,0.127941513121058,6.17727000000057
"box_cox","bart",150,694.952606602135,0.93127,925.256076372032,0.95789,1199.68294457531,0.9697,1440.40248589838,0.92905,911.76652380252,0.95718,1184.33523843476,0.96933,1423.08679020276,746.980952660782,489.345062984327,0.99801000000004
"box_cox","bart",200,572.370183296538,0.89275,635.288810093173,0.93452,829.244620109279,0.95442,1000.67729519275,0.88973,623.421233625792,0.93259,816.109715426257,0.95343,986.450971645844,750.271156564143,492.660531733766,0.955940000000137
"box_cox","bart",250,527.766257072915,0.82876,480.075537976767,0.89125,628.58502783861,0.92228,760.372837309927,0.828,468.550043827919,0.88908,616.57671618828,0.92081,747.564935077739,771.331208530104,500.993368485783,0.989399999999587
"box_cox","bart",500,454.188454756267,0.62947,247.988612586011,0.72724,325.005334746662,0.78715,392.994425520574,0.62717,238.755745653266,0.72602,316.128249957406,0.78501,384.493045525539,797.399573129537,505.542577369544,1.16142999999967
"box_cox","bart_bc",150,1151.77035590203,0.80231,1419.23062010165,0.88394,2044.16356685617,0.93232,2736.46963154475,0.73079,999.63162798484,0.87767,1522.05489732944,0.94609,2126.9900387168,665.278787480624,499.952694393914,21.88209
"box_cox","bart_bc",200,985.027118875253,0.80506,1252.80973669672,0.88981,1754.24066203118,0.93696,2284.2403559036,0.72891,944.341326526667,0.87497,1374.27940769731,0.94547,1847.22033098242,678.093661474172,504.473962066588,11.8512900000002
"box_cox","bart_bc",250,887.53846224098,0.80575,1107.22480038153,0.88885,1525.17256338726,0.93577,1952.54312321721,0.73132,872.948837001503,0.87125,1237.04526197757,0.94051,1623.77452878956,690.005962647182,511.42321246054,2.60707999999962
"box_cox","bart_bc",500,646.054314113862,0.8108,745.835677733037,0.88721,994.134682687068,0.93061,1229.07842179563,0.75132,653.483024657367,0.86957,881.048796240634,0.92959,1101.0238754741,725.450455463094,509.335180713563,3.15927999999993
"box_cox","lm",150,1421.55922643223,0.94054,3717.93778063669,0.95293,4768.34502342601,0.96049,5672.92255706672,0.9397,3680.54702342945,0.95223,4726.00453776995,0.95985,5626.31283910997,442.206834423515,413.859112407429,0.0247599999999875
"box_cox","lm",200,1335.15869594357,0.94247,3705.09972951918,0.9546,4750.53415018825,0.96237,5650.73410097617,0.94158,3667.49789762937,0.95402,4708.76756885718,0.96176,5604.81747678743,436.311688793578,426.426839097365,0.0244900000000598
"box_cox","lm",250,1331.94075300222,0.94287,3684.19479181102,0.95492,4723.82895175659,0.96243,5620.28781720833,0.9421,3647.07881323056,0.95441,4682.07612377101,0.96211,5573.71261678452,434.187559146162,415.338203335512,0.0257700000004115
"box_cox","lm",500,1329.53798356836,0.94511,3663.09782644217,0.95702,4697.85904568666,0.96417,5589.19530015877,0.94438,3626.21806299327,0.95663,4656.08428294037,0.9639,5543.15142760608,437.158494324372,431.400581478681,0.0256199999999808
"box_cox","sblm",150,1263.58439025998,0.80281,1439.7372154107,0.89131,2272.23467322796,0.93321,3255.25010731612,0.78888,838.156678298324,0.87767,1512.57630181863,0.92168,2356.53100975389,534.030199299326,459.909596932744,1.95571999999995
"box_cox","sblm",200,1187.54251625473,0.81761,1433.32408750311,0.90297,2294.73980410866,0.94075,3320.52752008508,0.79779,834.429318089327,0.88494,1510.06176449367,0.92943,2386.8336785767,516.699934692475,462.202837539977,2.20784999999983
"box_cox","sblm",250,1173.08309114741,0.81335,1361.70701859471,0.90046,2156.41723893664,0.93898,3095.67306218878,0.79734,810.818129197367,0.88228,1435.72621036276,0.92615,2241.13045509399,520.967341445021,463.834344842669,2.59480000000003
"box_cox","sblm",500,1198.77249922512,0.81851,1331.85457233258,0.90486,2109.14734157429,0.94298,3038.14542534662,0.79969,790.251905068334,0.88374,1402.35366129818,0.92737,2192.75634075955,509.828626393738,457.606417239055,1.37531000000032
"box_cox","sebart",150,1084.57302971503,0.84356,1093.0347354832,0.90681,1464.48832656121,0.93987,1813.08073519818,0.78651,795.135760905821,0.89395,1165.40468319971,0.94093,1520.11555014606,655.509482233278,493.342038676072,4.24325999999997
"box_cox","sebart",200,980.878931620412,0.84349,1069.53456112273,0.90936,1419.02113327392,0.94241,1744.24140910796,0.77892,787.396197929086,0.88757,1143.97340342409,0.93798,1475.71933598132,670.311573893312,495.547338552677,22.7188399999998
"box_cox","sebart",250,974.075749021762,0.83806,1068.07328123079,0.90538,1397.73665306792,0.94026,1698.83467620652,0.7727,793.388175607463,0.88267,1139.82170358071,0.93413,1452.36717347106,687.952319892224,505.38627172634,4.9333400000001
"box_cox","sebart",500,959.09166680527,0.82716,963.705550944589,0.89234,1251.40760058327,0.92895,1509.31578191397,0.76591,734.76743294983,0.86943,1033.82107618835,0.91951,1305.92441315621,726.38431892409,506.19456479389,6.10698000000026
"sigmoid","bart",150,5.89641796384631,0.36562,5.41125633538268,0.46424,6.94735810510624,0.54514,8.27560862469748,0.3623,5.35665874877954,0.46107,6.88548288841811,0.54153,8.20664827577721,5.41752335192631,5.06578385749787,4.06177
"sigmoid","bart",200,5.67896185431224,0.35456,5.10836029152268,0.44792,6.55647832727769,0.52138,7.80735078656013,0.35119,5.05638901600976,0.44424,6.49805724052237,0.51826,7.74263555604882,5.60911605544255,5.21305783043721,1.13676000000003
"sigmoid","bart",250,5.50722541970628,0.34738,4.85070986235618,0.43831,6.22595813541249,0.50999,7.41485867979727,0.34375,4.80159935227389,0.4344,6.17053166909421,0.50695,7.35351135582566,5.73396370238586,5.30999916930731,11.6352000000001
"sigmoid","bart",500,4.90542259975655,0.37664,4.11687658146548,0.46695,5.28276851176377,0.53318,6.28905734139514,0.37378,4.07477811541929,0.46327,5.23558410865816,0.52969,6.23686591755015,6.03298320544651,5.32715885820341,1.96396000000023
"sigmoid","bart_bc",150,11.7061949030478,0.83863,41.9274762843118,0.89223,60.4096259628812,0.92009,81.1152278141081,0.82743,29.6242314795811,0.93845,44.8447021146234,0.97208,62.5396503190591,7.67904319211825,6.67113908977049,2.37181
"sigmoid","bart_bc",200,11.3737864301039,0.83692,40.5331754269518,0.89327,57.7050316601519,0.92293,76.4573017755959,0.8249,29.2239792555461,0.93667,43.5809286669127,0.97293,59.8983730564678,7.80856620395423,6.79875164252487,11.55123
"sigmoid","bart_bc",250,11.2099225499423,0.82989,39.2870370275379,0.88933,55.6680951634301,0.92225,73.3843895538562,0.81722,28.7525742511377,0.92718,42.494272434912,0.96686,57.9756925874497,7.91982926061202,6.89487549093598,11.96019
