"Scenario","Iteration","N_train","adjustment","y","truth","mean","lower","upper"
"sigmoid",1,150,"raw",19.9999988237761,33.2978671416523,0.688679035557415,0.436850363170148,1.13175295654352
"sigmoid",1,150,"raw",19.9999995997857,35.4539956611017,0.712613672209462,0.45936593093032,1.15089427514183
"sigmoid",1,150,"raw",19.9999996160901,35.5371803058995,0.737443088573316,0.472551535088725,1.17879608687369
"sigmoid",1,150,"raw",19.9999996347329,35.636738481903,0.765739036621392,0.48868852505926,1.19386436586154
"sigmoid",1,150,"raw",19.9999996981246,36.017967344012,0.794259697496091,0.508293704201255,1.22328256602756
"sigmoid",1,150,"raw",19.9999998493241,37.4077335432861,0.822679220994978,0.528647601213614,1.25547078886997
"sigmoid",1,150,"raw",19.9999998753837,37.787517609984,0.852557979851303,0.548228188951275,1.29564965708379
"sigmoid",1,150,"raw",19.9999999504446,39.6318144753178,0.884151613631413,0.582312125773166,1.32431675282204
"sigmoid",1,150,"raw",19.999999964067,40.2746853370956,0.91543439855613,0.594902159036925,1.36147708006935
"sigmoid",1,150,"raw",19.9999999660788,40.3899156320294,0.950289007920699,0.630150681109806,1.38935833374333
"sigmoid",1,150,"raw",19.9999999968416,45.1378691669282,0.987029973092278,0.657715866158267,1.40693188509932
"sigmoid",1,150,"raw",19.9999999985251,46.6608215873233,1.02537586086937,0.682698212299514,1.45277491476668
"sigmoid",1,150,"raw",19.9999999985315,46.6695362769517,1.06338389109445,0.718421602271094,1.50816605500123
"sigmoid",1,150,"raw",19.9999999988509,47.1600483428395,1.10389532383784,0.741077928439555,1.52808960446029
"sigmoid",1,150,"raw",19.9999999989626,47.3645414720798,1.14454257523576,0.780184739365301,1.57664507236268
"sigmoid",1,150,"raw",19.9999999996707,49.6594542555293,1.18939437454291,0.81521173493886,1.62372836151898
"sigmoid",1,150,"raw",19.999999999681,49.7230525753447,1.2346932075152,0.855184324459276,1.67127935604689
"sigmoid",1,150,"raw",19.9999999998742,51.584024190372,1.28472724303408,0.894160713894012,1.71278397899276
"sigmoid",1,150,"raw",19.9999999999333,52.8535636217016,1.33453882393159,0.937678701611663,1.7781806045862
"sigmoid",1,150,"raw",19.999999999973,54.6654085265626,1.3831137587401,0.979974009383956,1.81467244381819
"sigmoid",1,150,"raw",19.9999999999977,59.5605102530511,1.43785168681747,1.0318527672099,1.87251689645835
"sigmoid",1,150,"raw",19.9999999999979,59.798935509983,1.4925196234853,1.09363996636597,1.93239864396893
"sigmoid",1,150,"raw",19.9999999999981,59.9458313222293,1.55050886941265,1.13990501231058,1.98556197713505
"sigmoid",1,150,"raw",19.9999999999998,64.760183485975,1.60862061213225,1.21011658322258,2.03097507510032
"sigmoid",1,150,"raw",20,67.2915162326376,1.67252157334323,1.2723317899442,2.09249737162251
"sigmoid",1,150,"raw",20,72.0873067782343,1.80365297473285,1.40008895421598,2.1987895721799
"sigmoid",1,150,"raw",20,Inf,2.80277399841928,2.67829156317478,2.91451840811798
"sigmoid",1,150,"location_scale",0.000105601726526489,-73.1331240181408,-7.7052695815713,-9.81540742952041,-5.97791463511578
"sigmoid",1,150,"location_scale",0.000731327052016411,-61.6717191107999,-7.12899283947373,-8.94288102435721,-5.64690392906084
"sigmoid",1,150,"location_scale",0.00726421545080431,-48.0724887736876,-6.75231398544767,-8.44295023646686,-5.40469073945969
"sigmoid",1,150,"location_scale",0.0151534674837103,-43.7154896069965,-6.46152678714111,-8.02993102099348,-5.12086810027527
"sigmoid",1,150,"location_scale",0.0156046480458921,-43.5415918531589,-6.20801907244214,-7.73623315796708,-4.93256208979227
"sigmoid",1,150,"location_scale",0.0231461754645907,-41.2043308583134,-5.95725723281813,-7.43288631912743,-4.62451113433275
"sigmoid",1,150,"location_scale",0.0517192823183933,-36.4341237522116,-5.72315638583488,-7.16348239322792,-4.42796866217116
"sigmoid",1,150,"location_scale",0.0833269854259867,-33.6000247063766,-5.49364772978395,-6.96343313817825,-4.20224987219898
"sigmoid",1,150,"location_scale",0.118847707416817,-31.4865331374392,-5.27112808715742,-6.70159647227542,-4.00406378326035
"sigmoid",1,150,"location_scale",0.239928855339669,-27.2897704438798,-5.04909667307113,-6.48819766879333,-3.74951568484382
"sigmoid",1,150,"location_scale",0.327942030289197,-25.4125708550287,-4.83276599951007,-6.2168423410207,-3.56530137869139
"sigmoid",1,150,"location_scale",0.464916961104694,-23.3040914348176,-4.62566102900808,-5.90525594687345,-3.3902793118246
"sigmoid",1,150,"location_scale",0.579594047034197,-21.9634842469693,-4.42144342744795,-5.68975670990018,-3.18864529023494
"sigmoid",1,150,"location_scale",0.667750241636741,-21.0979879178728,-4.22937371593654,-5.44649418143986,-3.01285474999385
"sigmoid",1,150,"location_scale",0.748409217485073,-20.3978447583963,-4.04590732589176,-5.24096535024717,-2.87428626796614
"sigmoid",1,150,"location_scale",1.00448850286965,-18.5756279389846,-3.86520015146801,-5.07085539762142,-2.71030193690189
"sigmoid",1,150,"location_scale",1.47517059831567,-16.1510227537434,-3.69109802642266,-4.85473198714779,-2.5615046797456
"sigmoid",1,150,"location_scale",2.41423722790984,-12.9254167431206,-3.5138626320222,-4.66899521725232,-2.42842914875962
"sigmoid",1,150,"location_scale",2.69992934060748,-12.1660209623858,-3.34232989395395,-4.48254188588968,-2.29151624614575
"sigmoid",1,150,"location_scale",3.01818881770154,-11.3960961089473,-3.18707468884676,-4.31990322734035,-2.18510948639124
"sigmoid",1,150,"location_scale",4.05701929361603,-9.27040235293263,-3.03054702022933,-4.11821312823378,-2.08706918919029
"sigmoid",1,150,"location_scale",4.18159645613823,-9.04481767026869,-2.88717372317254,-3.93247735315122,-1.97890262924156
"sigmoid",1,150,"location_scale",6.00672694664015,-6.17366299709318,-2.73939969304665,-3.78400746450686,-1.85531942640223
"sigmoid",1,150,"location_scale",7.82290125038583,-3.78572286253212,-2.59610753712801,-3.61752314550461,-1.72246242505494
"sigmoid",1,150,"location_scale",8.99094378912942,-2.364306123045,-2.46519362486198,-3.44702545440508,-1.6126003628023
"sigmoid",1,150,"location_scale",10.0059368910052,-1.15795680139813,-2.33902820195747,-3.28751981966628,-1.50004358108452
"sigmoid",1,150,"location_scale",11.5836931567275,0.726831932143935,-2.21836421163946,-3.15741317117235,-1.41262870174451
"sigmoid",1,150,"location_scale",12.2580400042267,1.55657958907855,-2.10597272533267,-3.03996727076752,-1.32917723414027
"sigmoid",1,150,"location_scale",13.7521032910517,3.50758163350955,-1.98663194357785,-2.89213950131819,-1.24540705152023
"sigmoid",1,150,"location_scale",15.9599456103722,6.97154070289023,-1.87717140376954,-2.73412135134236,-1.1886879921497
"sigmoid",1,150,"location_scale",16.1529281042894,7.33260843330384,-1.77780539097707,-2.58919017793376,-1.10544700264936
"sigmoid",1,150,"location_scale",16.3417674099951,7.69954001607808,-1.67198414775362,-2.47098449634783,-1.0229229758205
"sigmoid",1,150,"location_scale",17.4223676791614,10.1522983282928,-1.57263198442022,-2.31635825885329,-0.946882337793437
"sigmoid",1,150,"location_scale",17.6615526824425,10.8098149482805,-1.48595710012634,-2.18398770229981,-0.883216607307477
"sigmoid",1,150,"location_scale",17.6825144558229,10.8701688686654,-1.39775044421198,-2.10071703199746,-0.821894664465295
"sigmoid",1,150,"location_scale",17.9846015932254,11.7976716855095,-1.31502372453489,-1.97235253230955,-0.7672931540005
"sigmoid",1,150,"location_scale",18.0634464024924,12.0599303210441,-1.23241469528468,-1.85829678482694,-0.708009104490221
"sigmoid",1,150,"location_scale",18.4037501598404,13.3150173383259,-1.15615993388679,-1.77535332456119,-0.672741379860479
"sigmoid",1,150,"location_scale",18.5299869140682,13.843435981266,-1.08546192689818,-1.66464871636449,-0.606981494269884
"sigmoid",1,150,"location_scale",19.0714317917292,16.7347254175118,-1.0141703716909,-1.59641134595769,-0.543959102798857
"sigmoid",1,150,"location_scale",19.1226843118609,17.0868841198564,-0.948040145418127,-1.50746348616523,-0.507263859226341
"sigmoid",1,150,"location_scale",19.4469552092286,19.9192988341731,-0.887568745771698,-1.42730531391247,-0.465530803626602
"sigmoid",1,150,"location_scale",19.5025082773152,20.5631540084026,-0.82407396987641,-1.33334236443151,-0.427205642996845
"sigmoid",1,150,"location_scale",19.5083897760804,20.6353751078984,-0.769746542586014,-1.24494738820503,-0.381113098898317
"sigmoid",1,150,"location_scale",19.618222975262,22.1661371004443,-0.716640638774247,-1.17230474925735,-0.343320152051319
"sigmoid",1,150,"location_scale",19.6535630067946,22.7520869190207,-0.66826009509387,-1.10678349127558,-0.30753534232216
"sigmoid",1,150,"location_scale",19.7544177870833,24.8201655568597,-0.622146758341322,-1.05349255280676,-0.274940313392163
