"Model","RMSE","Mean_CRPS","Median_CRPS","Runtime","Coverage_Q_80","Width_Q_80","Coverage_HPD_80","Width_HPD_80","Coverage_Q_90","Width_Q_90","Coverage_HPD_90","Width_HPD_90","Coverage_Q_95","Width_Q_95","Coverage_HPD_95","Width_HPD_95","Scenario","Iteration","N_train"
"bart",8.93548140522383,31.1072889546026,24.4415035517401,1.05099999999999,0.836,23.7962266107963,0.827,23.4151161185808,0.913,30.5561899087599,0.906,30.13385127684,0.951,36.2956386352647,0.949,35.8577526878906,"identity",19,200
"bart_bc",21.1843424414262,30.5189593451148,25.3366694476978,2.46199999999999,0.775,57.1089854306384,0.692,47.7151498891114,0.875,77.0682442022847,0.86,66.4563718613781,0.927,96.5280971249155,0.938,85.1695670721101,"identity",19,200
"sblm",25.0434753406261,23.7454487614256,20.903225297725,2.27799999999999,0.835,67.1761666719815,0.806,56.5878770162509,0.928,92.7367670694054,0.913,79.8393298643182,0.955,117.848576156089,0.946,104.094574782102,"identity",19,200
"sebart",11.5646915702363,28.4844338972298,23.2193849360896,4.54599999999999,0.875,44.0544407516553,0.818,38.0308360081869,0.918,55.2065719498711,0.91,50.4505207621842,0.95,64.8553454193261,0.942,60.4971543586603,"identity",20,200
"bart",8.28642101223173,30.5346544364245,23.8007726347794,1.07900000000001,0.869,25.2992740940441,0.858,24.9758125620338,0.958,32.5536531189777,0.956,32.1765998903374,0.984,38.8002694729666,0.984,38.3652610837203,"identity",20,200
"bart_bc",22.148912271241,28.5142116688314,23.8093761842358,2.42299999999997,0.851,70.1212354591859,0.743,55.4608694845734,0.926,96.4505099644759,0.925,79.8516866917352,0.971,123.221407100332,0.98,105.669957214233,"identity",20,200
"sblm",26.7721670604927,21.7455063956515,19.6570732331426,2.267,0.844,73.9792462728761,0.829,61.4461362481963,0.916,104.275807910363,0.901,87.1641304776152,0.948,133.320540672997,0.943,115.371316317249,"identity",20,200
"sebart",14.5267657315951,29.7510919073088,25.2463122133036,4.536,0.885,44.1988020600117,0.802,37.2409785981956,0.945,57.1597497819614,0.92,51.3219659861568,0.97,67.85516849035,0.967,63.2783872553605,"identity",21,200
"bart",8.14484457932832,32.2222129841277,24.6009326250793,1.06700000000001,0.882,24.4937876943069,0.878,24.1651268054745,0.956,31.5118354359351,0.953,31.1308106643201,0.981,37.5647817563037,0.981,37.1616284108147,"identity",21,200
"bart_bc",22.0729270927194,28.6684925586918,24.798010246424,2.41800000000001,0.826,61.8584530611671,0.702,49.457055335316,0.925,84.642862725187,0.91,70.6831547819403,0.97,107.573494988431,0.974,92.6774052586092,"identity",21,200
