"Scenario","Iteration","N_train","Latent_Min","Latent_Max"
"beta",67,150,-34.6167600087235,303.017085883213
"beta",68,150,-35.1381982937251,355.775327281779
"beta",69,150,-37.2238510158118,227.322348431524
"beta",70,150,-45.3188245344323,271.13407886187
"beta",71,150,-33.4517087124849,242.924529703603
"beta",72,150,-33.5500257022978,233.04764719396
"beta",73,150,-33.3636077244892,245.489318434452
"beta",74,150,-34.039245524327,332.681216790867
"beta",75,150,-35.2271942009839,295.803740774355
"beta",76,150,-35.7970236740663,202.081868450397
"beta",77,150,-27.4244401919553,242.749884661082
"beta",78,150,-44.6207047479738,365.794300296144
"beta",79,150,-48.9602040440763,283.822576163092
"beta",80,150,-32.1370819950306,312.93993905557
"beta",81,150,-35.3441373751416,225.664204488288
"beta",82,150,-38.1123303359987,357.572290540462
"beta",83,150,-35.2842825515023,254.170368463692
"beta",84,150,-38.5042426299135,289.006376189364
"beta",85,150,-42.1591798924411,221.338193657166
"beta",86,150,-39.0911334148898,203.448487235188
"beta",87,150,-28.3504051938456,264.95275751435
"beta",88,150,-35.0745983691606,232.316651061122
"beta",89,150,-34.7237008920245,237.333087590673
"beta",90,150,-49.9121486895406,284.837924775386
"beta",91,150,-39.5119317343304,284.957469054377
"beta",92,150,-38.0725986914096,445.827967285233
"beta",93,150,-39.4907561156591,272.808514924478
"beta",94,150,-39.1906025916083,240.260809007851
"beta",95,150,-31.5743419173656,369.417783352134
"beta",96,150,-43.2234472589203,278.198522789717
"beta",97,150,-41.2104907830894,269.832530994217
"beta",98,150,-38.8291139491403,240.789699493975
"beta",99,150,-35.200633824679,334.201466108231
"beta",100,150,-38.1959568669044,316.445614012257
"arctangent",1,150,-36.3389336530542,379.251039492537
"arctangent",2,150,-45.0183601802556,309.142595769703
"arctangent",3,150,-35.2213367500757,300.830836793627
"arctangent",4,150,-40.3160020687426,342.476863773345
"arctangent",5,150,-39.0179294098503,400.083928115727
"arctangent",6,150,-33.2568822884867,354.476501615786
"arctangent",7,150,-38.3165794333152,321.635080932543
"arctangent",8,150,-40.8052009352668,315.174067476221
"arctangent",9,150,-28.9378588599739,265.105126731277
"arctangent",10,150,-37.56035162506,226.343653186983
"arctangent",11,150,-50.0996138656835,244.185813711634
"arctangent",12,150,-38.7483779395255,200.520336285393
"arctangent",13,150,-29.9878136940366,258.320816875151
"arctangent",14,150,-37.1549943557522,276.94529422828
"arctangent",15,150,-39.8801700117908,324.417533766054
"arctangent",16,150,-33.1497601266206,218.910702442096
"arctangent",17,150,-38.7103849016675,194.837413241428
"arctangent",18,150,-41.5762599546527,243.831758439691
"arctangent",19,150,-33.1260290662508,434.467826124089
"arctangent",20,150,-38.6071867808473,282.235491226532
"arctangent",21,150,-48.7299400262418,241.734102380929
"arctangent",22,150,-40.2388432572517,242.460380405031
"arctangent",23,150,-36.647375325348,280.958246770183
"arctangent",24,150,-30.7474016645528,283.024168745721
"arctangent",25,150,-38.0954169338225,292.413208975152
"arctangent",26,150,-33.9736483188265,258.219767424167
