"Scenario","Iteration","N_train","ISE_raw_mean","ISE_raw_expected","ISE_adjusted_mean","ISE_adjusted_expected","Mu_mean","Sigma_mean"
"beta",2,150,0.16607358000572,0.185948212846912,1.73469049652596,1.96399543152019,0.0198446949909034,0.313221074773349
"beta",3,150,0.183085550293736,0.200969105101077,1.87331579443778,2.0798259667236,0.1073052184084,0.316431227745902
"beta",4,150,0.165635008353209,0.186802760112939,1.78592037069779,2.03732840111522,0.00782502248095155,0.308882834810427
"beta",5,150,0.195543832927812,0.214169954152486,2.03566235836333,2.25731101601516,0.138739412792711,0.31405159002387
"beta",6,150,0.142482888967774,0.163160166947884,1.78805795764557,2.06374814964401,-0.016232500218207,0.285659212086312
"beta",7,150,0.170454206488653,0.189967734836389,1.52219470110797,1.71459919473924,0.0573126441123521,0.338749052406572
"beta",8,150,0.158182934274539,0.178565559660134,1.85781387777478,2.11469602634968,0.0275579331947497,0.295133163526152
"beta",9,150,0.125491274316199,0.14329519150953,1.46937526291711,1.69395634160525,0.0698458110356803,0.295415857752867
"beta",10,150,0.182305948730017,0.202997598678857,1.76129949441025,1.98011486573268,0.122629658588363,0.325015216611892
"beta",11,150,0.161311663459553,0.178905511052383,1.57124975257051,1.7608615586626,0.0545062388350195,0.324216367399413
"beta",12,150,0.151445212015152,0.172186808172783,2.07246145709874,2.37576446035466,0.034716725779847,0.273133414048907
"beta",13,150,0.156112081496336,0.175376547670473,1.804369095717,2.04442880192055,0.059457189549991,0.297391750477627
"beta",14,150,0.248202815607518,0.266873890033294,2.31020044308773,2.50842127176095,0.149380013770245,0.331380339805388
"beta",15,150,0.205249524793075,0.225819255697121,2.07942140978522,2.31491215298317,0.178674908601121,0.318370818936605
"beta",16,150,0.160797262708359,0.180128799228287,2.25675795790539,2.55679390084491,0.0605463256813045,0.270347060441501
"beta",17,150,0.202152993492996,0.221716488126695,2.90565666396134,3.22080676418902,0.0884647001530675,0.266878957800523
"beta",18,150,0.22099647990052,0.2392958752513,2.22990860897264,2.43561617143129,0.161182696496494,0.318347152822415
"beta",19,150,0.183729736259376,0.202381829795757,2.35465671121949,2.61940945364076,0.168175517120751,0.2826015284596
"beta",20,150,0.184676292991234,0.207072637282879,1.86057810111192,2.09865970325291,-0.0468182277323687,0.317877166221869
"beta",21,150,0.170017013414012,0.189930393842139,2.163322812054,2.4471931075529,0.085105962626566,0.284109888819785
"beta",22,150,0.156342512644956,0.175400605613582,1.52864511926435,1.73188422909519,0.00546051198572549,0.323716987165259
"beta",23,150,0.273527371618132,0.294715272022816,2.79145317705046,3.04614601345354,0.260929374292922,0.317419876650407
"beta",24,150,0.176090116669016,0.196499474793682,1.97290330619958,2.21995682297305,0.122132826806699,0.301983178754816
"beta",25,150,0.15730194075683,0.178035180330843,1.71915877215999,1.97515834960657,0.071266434421427,0.307552762668315
"beta",26,150,0.266838038148181,0.286571836033691,2.22227966001233,2.41092225872354,0.221844786863675,0.350450114753091
"beta",27,150,0.249704152853656,0.271004518642323,2.24481517794787,2.45882003523108,0.191043329357943,0.33718802574371
"beta",28,150,0.138469611138045,0.158013857074312,1.77831474360997,2.05300663088146,0.0361365979923678,0.282907827285815
"beta",29,150,0.111626446324573,0.132544085363283,1.59985785799733,1.91784364866986,0.0451227927061874,0.267703244103503
"beta",30,150,0.190816436994338,0.210070903398578,2.19145511730899,2.43927780554029,0.0902197654733396,0.298585387716267
"beta",31,150,0.199716738656533,0.218869825456848,2.56750938006952,2.84543982984589,0.153460872116597,0.282435277692873
"beta",32,150,0.199564669922267,0.219032764944111,1.87237515951632,2.08135910926489,0.118591630574113,0.331122475293778
"beta",33,150,0.12278499210464,0.14175796882253,1.19444228104239,1.39288858092121,0.0867515699949985,0.324209968148411
"beta",34,150,0.197645191602441,0.21746278083012,3.00697928552608,3.36891874459099,0.153298388724089,0.261278575521979
"beta",35,150,0.164718335803812,0.18594124004713,2.00004915179483,2.27537230473744,0.0162704958103979,0.290461749545709
"beta",36,150,0.166444176691822,0.18511904183139,1.69395004701078,1.90269796829796,0.0560462725692299,0.316946422425685
"beta",37,150,0.171840495803836,0.192233501152215,1.91820055580515,2.1684920589022,0.130336182030923,0.303040586710491
"beta",38,150,0.137301085123747,0.1582179396376,1.73305430957586,2.0173677010713,-0.0103807459577056,0.284732499477527
"beta",39,150,0.125225490331387,0.145196364808818,1.87103243066082,2.18858851366698,-0.0258956233225807,0.261491035686915
"beta",40,150,0.191351981812479,0.211292584422822,2.20099959574875,2.444586664386,-0.0468064138152833,0.297387844253671
"beta",41,150,0.20095342419959,0.21942901287056,1.85346841094777,2.04585191977485,0.124341238525232,0.333269961924512
"beta",42,150,0.260523644968716,0.285574971517096,2.15824646116897,2.39462721891655,0.256690287173238,0.351171300364922
"beta",43,150,0.154599834532298,0.173322081571787,2.46408610836092,2.8041199651428,0.00872610910998885,0.254656855589212
"beta",44,150,0.21415581881528,0.234992499427121,2.27106235430628,2.52368331563715,0.179545512625379,0.311372209030056
"beta",45,150,0.1562742803776,0.175645907327564,1.89811496200678,2.15213882524301,-0.000102885554815224,0.290185273967786
"beta",46,150,0.174170816728307,0.19393367369329,1.63313434372856,1.83210969454713,0.0834877549286286,0.330163257772091
"beta",47,150,0.128897058686042,0.148206787529736,1.74234019891253,2.0231922083111,0.0846742958774207,0.275485602478592
"beta",48,150,0.217772526105644,0.23723105517017,1.72508886949103,1.90248658495328,0.22429277325313,0.359252757977743
"beta",49,150,0.24624477676081,0.264864114971033,2.33373281353297,2.53748042858903,0.179740375304977,0.328722852934882
"beta",50,150,0.163390399253436,0.183216482447256,1.60550669123502,1.82369693299507,0.0789352488297851,0.323763449931198
"beta",51,150,0.197830370009183,0.216293838428253,2.26739304147943,2.49865347698437,0.0973486352595169,0.29835756556311
"beta",52,150,0.207743696538707,0.22688058058936,2.07296940388577,2.28883355806115,0.0956508102122287,0.320571310493019
"beta",53,150,0.214226070317599,0.235404404383231,2.3024421569055,2.55386924390907,0.161649767948338,0.308094148142658
"beta",54,150,0.145498156644358,0.16606844270377,2.19050228060672,2.53517653036495,0.0442142868824407,0.261867510952536
"beta",55,150,0.152714073986866,0.172808190488188,2.01035587442203,2.29999816651984,0.0120564521608326,0.279123242174467
"beta",56,150,0.127399551367057,0.14677501945165,1.72946891291858,2.01192708839635,0.0941002890142263,0.27492870566711
"beta",57,150,0.245992717658043,0.267309845813406,2.92191980530977,3.19456425603376,-0.00438136819542662,0.293293145842434
"beta",58,150,0.156773863937573,0.178681542069917,1.515211466038,1.74030890249564,0.0335780054718013,0.324929415072217
"beta",59,150,0.152225547941554,0.172461186337461,1.64852828216066,1.88835416929288,0.0551034306367081,0.307502563940068
"beta",60,150,0.182568957224999,0.202080198378696,1.91488815682907,2.14349448667865,0.17378035400044,0.31228694013218
"beta",61,150,0.162525773994378,0.182939405770123,1.55549520388601,1.76683498227051,0.0637374926393499,0.326787200491465
"beta",62,150,0.197670418038643,0.215751600016406,2.67626491627394,2.95325514210355,0.0832082100566938,0.274967222614081
"beta",63,150,0.146021542608375,0.165463961112854,2.35957066221353,2.71316853950785,0.0720370338353781,0.253033941600426
"beta",64,150,0.120663352471547,0.139565665552782,1.48878308566864,1.73980347329463,0.0506904293156573,0.288198623639444
"beta",65,150,0.189578730738182,0.208573841560373,2.29923697736883,2.55868139102969,0.114551652336262,0.291001070200031
"beta",66,150,0.167267931889083,0.186681806967333,3.04429268278514,3.44295550492947,0.0520952909326802,0.238196124690059
"beta",67,150,0.209792793959543,0.229527543494879,2.39409949846893,2.65015248382189,0.095259255708642,0.300005790235934
"beta",68,150,0.154448865188531,0.172784504553008,1.48066733157383,1.67365683009318,0.12516761794992,0.326826399510543
"beta",69,150,0.136196070931645,0.156700566161415,1.51303832498739,1.75999155314799,0.027212016868117,0.304018201656639
"beta",70,150,0.181542384465409,0.201913185927204,2.05954052111627,2.3134117431583,-0.00482430399253669,0.301191794114675
"beta",71,150,0.159438385567954,0.178503183783614,1.46089942803149,1.64929366514789,0.029517036307202,0.333479662049773
"beta",72,150,0.210470540304129,0.233046515113918,2.04048589955464,2.29601826559296,0.192272088453875,0.325736430711011
"beta",73,150,0.229978705586817,0.249640005985121,1.7710289107803,1.94142654149423,0.139320029952346,0.364187643619725
"beta",74,150,0.163937831779295,0.184759951875615,1.80317321441992,2.05241164578825,0.0994848715365875,0.304852816411465
"beta",75,150,0.136511727818448,0.157442470143291,1.5223566267487,1.76999174192678,-0.015502657309689,0.302980174105728
"beta",76,150,0.131081078191859,0.150876204460863,1.35162310854164,1.57519904318961,0.0743861345708241,0.315335273906726
"beta",77,150,0.19606396622263,0.217424363760179,2.15297182406336,2.42554274551697,0.189016087728214,0.306504146318985
"beta",78,150,0.155281417735189,0.174501846574358,1.65831891358766,1.87651258567622,0.0680554631830295,0.309096188986298
"beta",79,150,0.155058220243206,0.174868592625815,1.75184709610259,2.00283511866003,0.0162173241335108,0.30182680296338
"beta",80,150,0.198028032730162,0.217519623833351,2.59101193619725,2.86886140597875,0.00186952291699435,0.279320204637689
"beta",81,150,0.187937341034958,0.206550790387119,1.98426374511056,2.20635664659812,0.15242689681956,0.311142014708449
"beta",82,150,0.152870862878907,0.173190181104975,1.11364230012858,1.27459620938575,0.122690903635121,0.374723505965346
"beta",83,150,0.159293596369778,0.179210568348193,1.88677940336429,2.14267790630137,-0.0230183419671025,0.294156104290614
"beta",84,150,0.199758734972948,0.221119298495398,2.48927603663565,2.7856244054071,-0.064088064496888,0.287884513843488
"beta",85,150,0.125299878699081,0.145208265386069,1.5142717383899,1.77309510352358,0.0702917422681078,0.291421941957162
"beta",86,150,0.163545482239715,0.182652920759471,1.93027419560437,2.18473149273043,0.108786860794136,0.295326408839039
"beta",87,150,0.223355959878424,0.242960864243064,1.89059934998685,2.07309010151338,0.133057429131,0.3469942716633
"beta",88,150,0.200434658213938,0.21937332804,1.920805860139,2.12251991033248,0.147295944811008,0.326631852502857
"beta",89,150,0.153063592446632,0.17390227628947,1.71385940513492,1.96469480280774,0.0519940423920034,0.302467702649548
"beta",90,150,0.202190545012262,0.223163685010537,2.08077591955352,2.32776332225859,0.17472742350474,0.315847394706672
"beta",91,150,0.200179285640382,0.221458659665001,1.95661550729508,2.17705125948244,0.00269454865747548,0.322809008908031
"beta",92,150,0.184370833051846,0.204771806668743,2.62163644097133,2.92902601520406,0.00971630150912395,0.267818553802246
"beta",93,150,0.189001010957755,0.208310398532388,2.47681180964892,2.76099366465145,0.100844451249221,0.27960562524621
"beta",94,150,0.107040602050831,0.127724232875707,1.1921691719482,1.4359248085107,-0.0374156309206011,0.303018592075872
"beta",95,150,0.135020682448914,0.156617720474013,1.69635681664767,1.98613171297906,0.0483563941400347,0.285497547288111
"beta",96,150,0.158920684920566,0.177430102077122,1.99586375954495,2.2572457718994,0.101068159872658,0.286226436177891
"beta",97,150,0.189364094424016,0.210290537706904,2.28254415483278,2.56403698931313,0.0281036229723369,0.292428307356445
"beta",98,150,0.155703625462442,0.176151565747646,2.45477463864712,2.81136116259432,0.0847192178009437,0.255418164153434
"beta",99,150,0.151621542060571,0.170620154310708,1.53348281787961,1.73772428190482,0.0380114864208,0.317587778834437
"beta",100,150,0.168296012761569,0.188579926085889,2.48487332748015,2.81189239074501,-0.0320302405440243,0.263498561031268
"arctangent",1,150,1921.14649889798,1921.16749876208,25041.7736010201,25467.1071999328,0.21336147149877,0.281607044220588
"arctangent",2,150,1629.81710245614,1629.83830145584,15077.0013955624,15240.0434319056,0.21789222448875,0.332345164230238
"arctangent",3,150,1360.05317991274,1360.07312318987,13512.999061843,13680.9894321605,0.130106972463905,0.321194262934221
"arctangent",4,150,1545.42279187244,1545.44347280976,19266.1238667301,19515.6171129999,-0.0138051637215339,0.286893357456416
"arctangent",5,150,2721.49329490623,2721.51294929987,29798.8675781433,30178.4151280444,0.111089819784589,0.306009491436635
"arctangent",6,150,1923.62166692488,1923.64266254116,17924.5614393533,18156.7032652867,0.0182285795946562,0.331817522561482
"arctangent",7,150,2327.1343413296,2327.15685882857,19219.0979143486,19477.8095413875,0.0107057308648964,0.352672202045165
"arctangent",8,150,2104.99669438792,2105.01512062006,24701.676003867,25044.7979045193,0.0422729142751691,0.295873298113296
"arctangent",9,150,1682.20768229459,1682.22615366748,22521.035475256,22918.1817817816,0.0476869787212847,0.277870701092575
"arctangent",10,150,1397.06094233564,1397.08118412651,10789.7851703123,10917.7024720048,0.220840272976033,0.364117036416711
"arctangent",11,150,1471.93485155813,1471.95566652648,16916.9044965989,17145.9970631689,0.0368483220523565,0.298988080552351
"arctangent",12,150,1570.45282869317,1570.47564391121,15315.204952242,15512.2966256319,0.116264554797702,0.324352615783383
"arctangent",13,150,2168.52509521899,2168.54407673048,21381.7459657654,21640.069708721,0.107422941407239,0.322299382023495
"arctangent",14,150,1989.87629656057,1989.89519042963,24090.3777165424,24449.5660374802,0.0832725140991152,0.291702539552909
"arctangent",15,150,2063.95398509117,2063.97403151593,29575.9131141484,29997.099824177,0.0166564784972986,0.267956295572038
"arctangent",16,150,1854.7610052979,1854.78206339396,14854.9553308775,15023.9681686466,0.267601877997978,0.357272643506077
"arctangent",17,150,1405.85765306209,1405.87855770927,18324.907625685,18583.5749975701,0.000719791770508863,0.280793297643482
"arctangent",18,150,2569.45062761532,2569.47106530613,27159.1178044247,27675.8518939469,0.0449500100927759,0.313237114086088
"arctangent",19,150,1869.53594756901,1869.55637115635,21966.8478840563,22285.066999937,0.111995100106909,0.295923123010241
"arctangent",20,150,1720.41537011202,1720.43629446035,18870.8549214756,19123.1553426773,0.0657478251586727,0.305868724223375
"arctangent",21,150,1651.89624174751,1651.9182565467,22860.8294279711,23233.6242348257,0.222347378971729,0.273072351157921
"arctangent",22,150,1493.5932129638,1493.61212562746,17151.250848769,17369.9855900751,0.148289758849472,0.298821995593645
"arctangent",23,150,2627.04792056185,2627.06696090191,27668.8824268779,28245.9627155207,0.124798970569441,0.314282607063078
"arctangent",24,150,2073.13279598769,2073.15172467555,41579.1433289249,42319.6976444527,0.0781944008672218,0.227229376651027
"arctangent",25,150,1197.93756339994,1197.95623160919,12194.3999555613,12353.9056868627,0.0974828061598648,0.31743767438536
"arctangent",26,150,1672.21919056685,1672.23946969125,25587.8952569195,26012.0792739577,0.101930825201766,0.259902627380372
"arctangent",27,150,2763.83361233257,2763.85278792896,22159.6388492392,22465.8895070552,0.0969078210931483,0.357883315449281
"arctangent",28,150,1657.84975780742,1657.87148855701,27417.1974379008,27954.8399760659,-0.0178241859578838,0.250528088610102
"arctangent",29,150,1744.16175432725,1744.18149355924,23029.9500071096,23444.5815699948,0.151769354622185,0.28000376946768
"arctangent",30,150,2143.59991446013,2143.61769701019,19024.0530259608,19268.1566390804,0.0874178673486412,0.339908901777928
"arctangent",31,150,1316.56159355797,1316.58031593629,14629.0046244548,14828.4194837156,0.126274906117187,0.304022145521366
"arctangent",32,150,1515.40290224514,1515.4210339653,17929.3111318737,18198.3028434904,-0.0215285960395624,0.294941001976602
"arctangent",33,150,2191.29406447594,2191.32476309701,21036.0411526491,21340.3937242056,0.317166954703464,0.327256064986609
"arctangent",34,150,1676.23476005856,1676.25371378512,15826.517544963,16045.9607177185,0.144812736393555,0.32986774133999
"arctangent",35,150,1536.39579415464,1536.4152023782,19178.4183625462,19431.8572762852,0.0604988458426889,0.286853490921252
"arctangent",36,150,2613.83966065748,2613.85859392396,28534.5636241446,28956.4580351082,0.103969723794022,0.307031038212705
"arctangent",37,150,2113.95748720646,2113.97706746201,22243.0645424859,22540.9899014667,0.182476817013588,0.312382479780322
"arctangent",38,150,2287.71416066866,2287.73274497491,23613.1447528979,23981.1678783345,0.146281094978105,0.315932156583188
