"Scenario","Iteration","N_train","y","truth","mean","lower","upper"
"beta",1,200,0.0618980068967363,0.44152862442751,0.658067151455938,0.410888990295236,0.928707804075897
"beta",1,200,0.0643238773993492,0.448893081730376,0.688406704945948,0.435482696597202,0.960457365283877
"beta",1,200,0.0651843872539489,0.451453369896515,0.717485033226575,0.460251995916967,0.99370186719773
"beta",1,200,0.0748951410383276,0.478673205194524,0.747731407232494,0.483135225119162,1.02166197691338
"beta",1,200,0.111845794374407,0.562715100798929,0.781163266827242,0.509526755312421,1.05874937373758
"beta",1,200,0.115601312993518,0.570050706450898,0.813179010612375,0.541464911657813,1.1011372426553
"beta",1,200,0.116535340384581,0.571848837634556,0.845439052649966,0.570152747044094,1.140206104914
"beta",1,200,0.117013689433946,0.572765786056684,0.880067375160421,0.589979865967368,1.18133870379059
"beta",1,200,0.121375713539865,0.581008075636603,0.91411851823867,0.618440939380487,1.21887737304068
"beta",1,200,0.130619307819942,0.597814716646992,0.950963551672427,0.661071730996998,1.25750501179816
"beta",1,200,0.141219416379539,0.616111791952461,0.990432824599091,0.693169286535524,1.2961673309164
"beta",1,200,0.171018047625457,0.663097643654222,1.02900500284032,0.726394097748379,1.33137798026785
"beta",1,200,0.182139215399699,0.679284345214091,1.06998083275583,0.748071184731732,1.3733149975755
"beta",1,200,0.22754529386261,0.739883896048096,1.11088908579193,0.78502040257022,1.42416788381818
"beta",1,200,0.256840094635596,0.77548468652426,1.15418452420135,0.82146621520436,1.46358321382825
"beta",1,200,0.257322526974025,0.7760531603795,1.19895714640126,0.875564835188756,1.50288403634094
"beta",1,200,0.352546510535721,0.880453364022538,1.24550749876281,0.909117654447204,1.56711481414116
"beta",1,200,0.357583358298501,0.885660313761203,1.29245266257242,0.95860603211628,1.60608695863932
"beta",1,200,0.374395022828131,0.902890139899618,1.34052867056809,0.994357345978482,1.64881554518241
"beta",1,200,0.375106604575747,0.903614772596468,1.38981341600473,1.05374889676695,1.71202656575216
"beta",1,200,0.428615020245786,0.957311371349447,1.44136231603524,1.10635710796672,1.76297337961187
"beta",1,200,0.494167569057882,1.02212511853205,1.49229544634975,1.15840401179587,1.81784572707941
"beta",1,200,0.645829707889408,1.17849630601959,1.54278750676142,1.20727556981882,1.86757410711639
"beta",1,200,0.698827896092085,1.23938281511606,1.59436438752083,1.25635800932176,1.9120675275589
"beta",1,200,0.735547418214909,1.28512970450463,1.65464247585137,1.31716874695932,1.95953555877277
"beta",1,200,0.821154054355921,1.41066255499191,1.71073142959896,1.38504380904287,2.00551827549963
"beta",1,200,0.925136936830533,1.65009001187361,1.76632989545451,1.45158899033758,2.06337152018899
"beta",1,200,0.957550064980316,1.78826274917328,1.82329847120244,1.50098888051181,2.1224843131959
"beta",1,200,0.967697043119121,1.85135512540718,1.88637638062708,1.57943827131889,2.17426501776887
"beta",1,200,0.97074127196712,1.87374712267219,1.946150404462,1.6401424541493,2.22681959796915
"beta",1,200,0.993955227769839,2.20412822538749,2.00933660852683,1.71233524421228,2.27899093010377
"beta",1,200,0.996156694856185,2.29165635130782,2.07351781173158,1.78469050491065,2.317370017954
"beta",1,200,0.998141757973253,2.42670550876773,2.1372317355207,1.85601750532538,2.36915834815034
"beta",1,200,0.999254212684101,2.58814662814099,2.20592756010307,1.94499840079428,2.41611297845448
"beta",1,200,0.999889357013187,2.9013181329817,2.27425455079231,2.03206576432229,2.4599906298065
"beta",1,200,0.999997463856348,3.44904278427043,2.34345274466366,2.12859496503074,2.50897817262973
"beta",1,200,0.999999999998022,4.63714150860274,2.41633488238095,2.24019983911963,2.54757393995916
"beta",1,200,0.999999999999214,4.63714150860274,2.49051793798296,2.34751201022303,2.58601343487605
"beta",1,200,0.999999999999835,4.63714150860274,2.57239967674412,2.53285224927583,2.6795761428617
