"Model","RMSE","Mean_CRPS","Median_CRPS","Runtime","Coverage_Q_80","Width_Q_80","Coverage_HPD_80","Width_HPD_80","Coverage_Q_90","Width_Q_90","Coverage_HPD_90","Width_HPD_90","Coverage_Q_95","Width_Q_95","Coverage_HPD_95","Width_HPD_95","Scenario","Iteration","N_train"
"bart_bc",0.120529199119205,0.233244603077073,0.16840914313645,2.31200000000001,0.888,0.419399851045029,0.863,0.409028817904067,0.902,0.484907657074134,0.901,0.479675603454838,0.909,0.536281278517576,0.909,0.531974230781399,"beta",1,200
"sblm",0.220359742040458,0.140449144416307,0.128582216943534,2.214,0.852,0.403028735083578,0.861,0.228531849377271,0.928,0.549041319604568,0.931,0.404970494482134,0.955,0.666496581681577,0.953,0.552647168217612,"beta",1,200
"sebart",0.119374636606813,0.200586573892892,0.126743202438387,4.572,0.847,0.199125451787864,0.786,0.140694429780946,0.934,0.265913330365892,0.9,0.206314460903541,0.96,0.32993051232889,0.954,0.269711058996834,"beta",2,200
"bart",0.10216252491206,0.218082916894391,0.135500048836308,1.16400000000002,0.798,0.146338728623631,0.802,0.144753996874824,0.839,0.188487120757008,0.84,0.186550404735007,0.868,0.224597303176769,0.869,0.222749292837709,"beta",2,200
"bart_bc",0.132741246937707,0.259635489214693,0.184279878861143,2.483,0.892,0.599707799332006,0.862,0.585616082453927,0.929,0.698392734452844,0.916,0.688604449987346,0.94,0.774550377557254,0.937,0.767346570561924,"beta",2,200
"sblm",0.236809180484952,0.133209109814493,0.116990022407497,2.36199999999999,0.897,0.499175992191636,0.876,0.284212156165676,0.955,0.682695123984201,0.928,0.501995708396721,0.967,0.809242385865209,0.956,0.686854749207339,"beta",2,200
"sebart",0.125741333126896,0.188639117154983,0.130733315291427,4.59799999999998,0.846,0.231729374664408,0.806,0.15647483275186,0.923,0.3121077056088,0.919,0.236767190709317,0.965,0.388142459090682,0.969,0.315780493186165,"beta",3,200
"bart",0.102054466807351,0.220191651673703,0.142547013770786,1.18099999999998,0.783,0.168573960455621,0.789,0.166833842564861,0.868,0.216635678355327,0.86,0.214597612981398,0.913,0.258103510088208,0.913,0.255970485050957,"beta",3,200
"bart_bc",0.122321390757228,0.265774398191683,0.188061019798654,2.38400000000001,0.9,0.573952487110112,0.867,0.558138138355131,0.934,0.665629494179093,0.923,0.657357297063526,0.952,0.737771520841914,0.947,0.731117136379867,"beta",3,200
"sblm",0.21379023699663,0.148653221820969,0.129437202585659,2.25400000000002,0.802,0.322237192463905,0.808,0.201747780649768,0.889,0.42860681516958,0.872,0.324294565120341,0.932,0.517475286030288,0.91,0.431168850577235,"beta",3,200
"sebart",0.117209234057384,0.184468444691951,0.124933176937086,4.51900000000001,0.861,0.182080310896372,0.839,0.133309161808437,0.931,0.23835601373551,0.924,0.188479014854228,0.962,0.29061512918078,0.959,0.241923067803925,"beta",4,200
"bart",0.0948501018077852,0.209050588592618,0.130323457070163,1.114,0.802,0.125365022232012,0.8,0.123897654882092,0.842,0.161083624453337,0.84,0.159435358259928,0.86,0.19199788894288,0.861,0.190221127658828,"beta",4,200
"bart_bc",0.104952981135824,0.238532263328557,0.159511372424822,2.304,0.863,0.394093304390179,0.837,0.384966639420802,0.891,0.458599210882151,0.882,0.452406436732503,0.913,0.509423535754339,0.903,0.504332004095336,"beta",4,200
"sblm",0.2101407995361,0.133653394768882,0.118854305411422,2.23099999999999,0.84,0.352959317002662,0.858,0.208415411925268,0.921,0.492671456470517,0.909,0.354939721931886,0.943,0.614117563702537,0.938,0.495901454329598,"beta",4,200
"sebart",0.116747936076883,0.178992056899334,0.126287894065678,4.57400000000001,0.818,0.200696365805005,0.806,0.129055941798641,0.884,0.279097784229925,0.899,0.20417956025559,0.924,0.354347327860356,0.936,0.282375125126422,"beta",5,200
"bart",0.101535187199462,0.212679874494329,0.133229199878695,1.126,0.842,0.128975258898533,0.842,0.127476913078311,0.882,0.166052620995063,0.883,0.164347752487713,0.901,0.198393074692824,0.9,0.196412920540562,"beta",5,200
"bart_bc",0.118320504640268,0.241915728897387,0.163793017091823,2.30099999999999,0.887,0.406689582519488,0.869,0.398335954969094,0.906,0.468854833068718,0.904,0.464705102004335,0.924,0.518838341458054,0.915,0.514068503137255,"beta",5,200
"sblm",0.214682085727488,0.146035629592903,0.123729995794537,2.261,0.778,0.365325822947435,0.832,0.229504524460322,0.872,0.489660434796197,0.897,0.367124865257355,0.92,0.599787109774154,0.923,0.492927228840744,"beta",5,200
"sebart",0.136870627048812,0.209181128181704,0.133424319442397,4.55699999999999,0.873,0.266501631144577,0.878,0.178180919836007,0.945,0.352537279422795,0.96,0.269553435434572,0.966,0.431101487378135,0.992,0.355362411962149,"beta",6,200
"bart",0.133594349774957,0.250215872701098,0.149117171456992,1.137,0.659,0.146277021972968,0.659,0.144653611663103,0.765,0.187780578053018,0.759,0.185966712396844,0.827,0.223633488104854,0.823,0.221714779561034,"beta",6,200
"bart_bc",0.172018525637709,0.287442844919263,0.18013133757935,2.334,0.811,0.40150696924877,0.74,0.386940842802873,0.84,0.468501225994856,0.828,0.461601148494567,0.866,0.522147241748647,0.853,0.515691127270373,"beta",6,200
"sblm",0.263849890190468,0.137271088956722,0.125075410401001,2.24200000000002,0.835,0.486764509571106,0.847,0.289673846709726,0.924,0.659406027338817,0.91,0.48952874711003,0.966,0.791442320026475,0.946,0.663439273482447,"beta",6,200
"sebart",0.114776367236747,0.174177837322727,0.118982131034929,4.911,0.846,0.226425223053596,0.804,0.147289992919984,0.914,0.306524249674624,0.904,0.228622878382628,0.942,0.38210895405553,0.954,0.309087844156534,"beta",7,200
"bart",0.0906359229706389,0.209105605254052,0.12806194282947,1.16,0.789,0.142476373727754,0.779,0.140891299094286,0.857,0.183195832155976,0.859,0.181388992787627,0.886,0.218431902754546,0.886,0.21640889026855,"beta",7,200
